timestamp,temperature,occupancy,hour,day_of_week,energy_consumption
2024-01-01 00:00:00,26.988962852336698,46,0,0,45.85641423424336
2024-01-01 01:00:00,40.81714335383799,93,1,0,70.37180003245044
2024-01-01 02:00:00,35.56785460347372,20,2,0,49.38551272236581
2024-01-01 03:00:00,32.36780362072888,29,3,0,51.86549950139947
2024-01-01 04:00:00,21.744447370618477,91,4,0,68.41926812670474
2024-01-01 05:00:00,21.743868488068863,30,5,0,48.809659680532434
2024-01-01 06:00:00,19.394006692036786,25,6,0,48.43477298174858
2024-01-01 07:00:00,38.788227498598445,21,7,0,57.60334622495023
2024-01-01 08:00:00,32.42676028183701,20,8,0,51.421153589690796
2024-01-01 09:00:00,34.99374186710509,0,9,0,44.5263430843536
2024-01-01 10:00:00,18.49402786309926,36,10,0,45.8757380999072
2024-01-01 11:00:00,41.277836451887865,76,11,0,66.64527591187806
2024-01-01 12:00:00,37.97862337921012,84,12,0,66.19179770579159
2024-01-01 13:00:00,23.096138656278626,45,13,0,44.04747779613384
2024-01-01 14:00:00,22.363799212970413,8,14,0,30.19355402733476
2024-01-01 15:00:00,22.401708236482413,16,15,0,29.017838221499357
2024-01-01 16:00:00,25.301813831028905,46,16,0,38.47310614305504
2024-01-01 17:00:00,30.594154359173707,84,17,0,51.482871443208104
2024-01-01 18:00:00,28.36668044741078,94,18,0,49.96858141948998
2024-01-01 19:00:00,24.989499364753005,58,19,0,42.373323456336436
2024-01-01 20:00:00,32.6844694733371,53,20,0,40.24339963893523
2024-01-01 21:00:00,21.347852655649003,85,21,0,50.5272318312131
2024-01-01 22:00:00,25.011471564845237,11,22,0,31.33972797613803
2024-01-01 23:00:00,26.7926842390486,63,23,0,49.13957521296067
2024-01-02 00:00:00,28.94567962120886,5,0,1,36.75522012825693
2024-01-02 01:00:00,36.844223073432325,52,1,1,57.44744064020026
2024-01-02 02:00:00,22.792170771800635,15,2,1,38.28048557239417
2024-01-02 03:00:00,30.341626521926678,89,3,1,71.77413363699183
2024-01-02 04:00:00,32.217949652689015,4,4,1,46.113504971892226
2024-01-02 05:00:00,19.114809905279945,72,5,1,65.44612782461249
2024-01-02 06:00:00,32.58107644563452,45,6,1,61.370080280090676
2024-01-02 07:00:00,22.092578968494998,13,7,1,44.70434244096895
2024-01-02 08:00:00,19.56123823164671,43,8,1,49.96079458168251
2024-01-02 09:00:00,40.77325289408,62,9,1,65.83601518452001
2024-01-02 10:00:00,41.175168793789425,93,10,1,73.78724585406003
2024-01-02 11:00:00,37.40153635479507,51,11,1,59.519818937078185
2024-01-02 12:00:00,25.310730460160897,25,12,1,42.608684898701505
2024-01-02 13:00:00,20.34413073615321,52,13,1,44.08685188200129
2024-01-02 14:00:00,34.42159263629176,28,14,1,44.149178656619206
2024-01-02 15:00:00,28.56365984975043,18,15,1,28.578399853808637
2024-01-02 16:00:00,20.92891763627469,46,16,1,36.52977955334958
2024-01-02 17:00:00,29.884245842670484,7,17,1,29.89416849548543
2024-01-02 18:00:00,18.82532450676524,22,18,1,27.107537796213723
2024-01-02 19:00:00,39.82368964989077,34,19,1,37.78697060440769
2024-01-02 20:00:00,24.210719558400406,94,20,1,54.42399200839141
2024-01-02 21:00:00,33.900534824495566,52,21,1,47.00189672712918
2024-01-02 22:00:00,25.481065826145862,98,22,1,57.82655683349984
2024-01-02 23:00:00,30.48163250826746,95,23,1,61.32934178542067
2024-01-03 00:00:00,31.12104670423871,57,0,2,56.64792748841686
2024-01-03 01:00:00,22.436506932612648,4,1,2,35.89547900479744
2024-01-03 02:00:00,41.270031066349404,15,2,2,49.651176215700374
2024-01-03 03:00:00,36.60318776066675,16,3,2,48.54990469040772
2024-01-03 04:00:00,40.54797459754054,31,4,2,59.74929961503187
2024-01-03 05:00:00,39.475856410263575,95,5,2,79.86965325857369
2024-01-03 06:00:00,32.349599491466044,51,6,2,61.5878308547004
2024-01-03 07:00:00,40.12498164055481,19,7,2,54.30619212347593
2024-01-03 08:00:00,20.123820049246067,65,8,2,60.88227725889152
2024-01-03 09:00:00,22.703588698059484,83,9,2,61.54803132550155
2024-01-03 10:00:00,19.085454933852915,81,10,2,62.78161822959042
2024-01-03 11:00:00,25.807927938318343,0,11,2,34.023086783488324
2024-01-03 12:00:00,27.328254952547567,57,12,2,48.20753144857645
